ID,상호명,업종,주소,구,동,지역권,메인메뉴,가격_원,주차유형,혼밥,2~4인,가족식사,단체수용,리뷰요약,추천태그,신뢰도,챗봇추천문장
38,목포홍어횟집,생선회,전북특별자치도 전주시 완산구 중화산동2가 533-2 목포홍어횟집,완산구,중화산동2가,중화산동권,홍어삼합,55000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"목포홍어횟집은(는) 중화산동권에 있는 생선회 식당입니다. 대표 메뉴는 홍어삼합이고 가격은 40,000~70,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
39,파오파오 직영점,종합분식,전북특별자치도 전주시 완산구 효자동1가 388,완산구,효자동1가,효자동권,만두 8개,6000,없음,추천,가능,가능,비추천,만두를 가볍게 먹거나 포장하기 좋은 분식점으로 단체 식사보다는 소규모 이용에 적합함.,혼밥,B,"파오파오 직영점은(는) 효자동권에 있는 종합분식 식당입니다. 대표 메뉴는 만두 8개이고 가격은 6,000원. 주차는 없음입니다. 혼밥은 추천, 2~4인은 가능, 가족식사는 가능, 단체 이용은 비추천입니다. 만두를 가볍게 먹거나 포장하기 좋은 분식점으로 단체 식사보다는 소규모 이용에 적합함."
40,오선모 옛날김밥,김밥,전북특별자치도 전주시 완산구 삼천동1가 599-5,완산구,삼천동1가,삼천동권,당근김밥,4000,전용 없음·인근 공영주차장,추천,가능,가능,비추천,당근이 많이 들어간 단일 김밥으로 유명하며 포장 중심이다. 전용주차장은 없고 인근 공영주차장 이용이 권장됨.,혼밥,A,"오선모 옛날김밥은(는) 삼천동권에 있는 김밥 식당입니다. 대표 메뉴는 당근김밥이고 가격은 4,000원. 주차는 전용 없음·인근 공영주차장입니다. 혼밥은 추천, 2~4인은 가능, 가족식사는 가능, 단체 이용은 비추천입니다. 당근이 많이 들어간 단일 김밥으로 유명하며 포장 중심이다. 전용주차장은 없고 인근 공영주차장 이용이 권장됨."
41,육일식당,감자탕,전북특별자치도 전주시 완산구 삼천동2가 275-3,완산구,삼천동2가,삼천동권,고구마순 감자탕,38000,주차 가능,비추천,추천,추천,추천,고구마순이 들어간 감자탕으로 가족·단체 식사 후기가 있으며 주차·포장·단체 이용 정보가 확인됨.,가족식사|단체모임|주차대안,B,"육일식당은(는) 삼천동권에 있는 감자탕 식당입니다. 대표 메뉴는 고구마순 감자탕이고 가격은 30,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 주차 가능입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 고구마순이 들어간 감자탕으로 가족·단체 식사 후기가 있으며 주차·포장·단체 이용 정보가 확인됨."
42,현대옥 전주본점,국밥,전북특별자치도 전주시 완산구 중화산동2가 757-3,완산구,중화산동2가,중화산동권,전주남부시장식 콩나물국밥,9000,대형 전용주차장,추천,추천,추천,추천,콩나물국밥 전문 대형 본점으로 혼밥·가족·단체 모두 이용하기 쉽고 주차 공간이 넓다는 후기가 많다.,혼밥|가족식사|단체모임|주차대안,A,"현대옥 전주본점은(는) 중화산동권에 있는 국밥 식당입니다. 대표 메뉴는 전주남부시장식 콩나물국밥이고 가격은 9,000원. 주차는 대형 전용주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 콩나물국밥 전문 대형 본점으로 혼밥·가족·단체 모두 이용하기 쉽고 주차 공간이 넓다는 후기가 많다."
43,신날개,불닭,전북특별자치도 전주시 완산구 중화산동2가 770-5,완산구,중화산동2가,중화산동권,매운 닭날개,8500,전용 없음·인근 공영주차장,비추천,추천,비추천,가능,매운 닭날개 중심의 술자리 식당으로 전용주차장이 없다는 후기가 있다. 매운맛 때문에 가족식사는 제한적.,,B,"신날개은(는) 중화산동권에 있는 불닭 식당입니다. 대표 메뉴는 매운 닭날개이고 가격은 8,500원. 주차는 전용 없음·인근 공영주차장입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 매운 닭날개 중심의 술자리 식당으로 전용주차장이 없다는 후기가 있다. 매운맛 때문에 가족식사는 제한적."
44,중화산동 목로국밥,국밥,전북특별자치도 전주시 완산구 중화산동2가 574-11 목로국밥,완산구,중화산동2가,중화산동권,목로국밥,16000,없음,추천,가능,제한적,비추천,바 좌석 중심의 작은 국밥집이라 혼밥에는 좋지만 가족·단체 방문에는 공간상 제약이 큼.,혼밥,B,"중화산동 목로국밥은(는) 중화산동권에 있는 국밥 식당입니다. 대표 메뉴는 목로국밥이고 가격은 16,000원. 주차는 없음입니다. 혼밥은 추천, 2~4인은 가능, 가족식사는 제한적, 단체 이용은 비추천입니다. 바 좌석 중심의 작은 국밥집이라 혼밥에는 좋지만 가족·단체 방문에는 공간상 제약이 큼."
45,배두둑감자탕,감자탕,전북특별자치도 전주시 완산구 중화산동2가 656-5,완산구,중화산동2가,중화산동권,뼈다귀전골 소,25000,주차 가능,비추천,추천,추천,추천,뼈다귀전골 중심으로 가족식사·단체모임에 적합하며 주차·예약·단체 이용 정보가 확인됨.,가족식사|단체모임|주차대안,A,"배두둑감자탕은(는) 중화산동권에 있는 감자탕 식당입니다. 대표 메뉴는 뼈다귀전골 소이고 가격은 25,000원. 주차는 주차 가능입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 뼈다귀전골 중심으로 가족식사·단체모임에 적합하며 주차·예약·단체 이용 정보가 확인됨."
46,기성이네 칼국수 계절회 옛날치킨,요리주점,전북특별자치도 전주시 완산구 서신동 838 1층(대로변),완산구,서신동,서신동권,생굴 한 접시,15000,전용 없음·골목/노상,가능,추천,가능,가능,계절회·생굴·칼국수·옛날치킨을 함께 파는 술자리형 식당이다. 전용주차장은 없고 주변 골목 주차 후기가 있음.,술자리,B,"기성이네 칼국수 계절회 옛날치킨은(는) 서신동권에 있는 요리주점 식당입니다. 대표 메뉴는 생굴 한 접시이고 가격은 15,000원. 주차는 전용 없음·골목/노상입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 계절회·생굴·칼국수·옛날치킨을 함께 파는 술자리형 식당이다. 전용주차장은 없고 주변 골목 주차 후기가 있음."
47,독도쭈꾸미,한식,전북특별자치도 전주시 완산구 서신동 830-7,완산구,서신동,서신동권,쭈꾸미볶음,14000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"독도쭈꾸미은(는) 서신동권에 있는 한식 식당입니다. 대표 메뉴는 쭈꾸미볶음이고 가격은 12,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
48,후켄,"치킨,닭강정",전북특별자치도 전주시 완산구 서신동 765-1 전주아아파트,완산구,서신동,서신동권,후라이드치킨,22000,없음,가능,추천,가능,미확인,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,,D,"후켄은(는) 서신동권에 있는 치킨,닭강정 식당입니다. 대표 메뉴는 후라이드치킨이고 가격은 19,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 미확인입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
49,여만국수전문점,국수,전북특별자치도 전주시 덕진구 덕진동1가 1405-35 1층,덕진구,덕진동1가,전북대·덕진공원권,잔치국수,7000,전용 없음·전북대 공영/유료,추천,추천,가능,제한적,가성비 국수집으로 혼밥과 학생 식사에 적합하다. 전북대 상권 특성상 전용주차보다는 인근 유료·공영주차 이용이 현실적.,혼밥,B,"여만국수전문점은(는) 전북대·덕진공원권에 있는 국수 식당입니다. 대표 메뉴는 잔치국수이고 가격은 7,000원. 주차는 전용 없음·전북대 공영/유료입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 가성비 국수집으로 혼밥과 학생 식사에 적합하다. 전북대 상권 특성상 전용주차보다는 인근 유료·공영주차 이용이 현실적."
50,소몽 전북대점,한식,전북특별자치도 전주시 덕진구 덕진동1가 1404-34 1층,덕진구,덕진동1가,전북대·덕진공원권,대표 한식 메뉴,12000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"소몽 전북대점은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 메뉴이고 가격은 9,000~16,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
51,성게향,"해물,생선요리",전북특별자치도 전주시 덕진구 덕진동1가 1404-39,덕진구,덕진동1가,전북대·덕진공원권,성게·해산물 요리,32000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"성게향은(는) 전북대·덕진공원권에 있는 해물,생선요리 식당입니다. 대표 메뉴는 성게·해산물 요리이고 가격은 20,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
52,코요,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1263-5 1층,덕진구,덕진동1가,전북대·덕진공원권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"코요은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
53,코지버거,햄버거,전북특별자치도 전주시 덕진구 덕진동1가 1263-9 1층,덕진구,덕진동1가,전북대·덕진공원권,수제버거,12000,전북대 인근 유료·공영,추천,추천,가능,비추천,수제버거와 감자튀김 후기가 있는 전북대 인근 매장으로 혼밥·2~4인 식사에 적합함.,혼밥,C,"코지버거은(는) 전북대·덕진공원권에 있는 햄버거 식당입니다. 대표 메뉴는 수제버거이고 가격은 9,000~15,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전북대 인근 유료·공영입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 비추천입니다. 수제버거와 감자튀김 후기가 있는 전북대 인근 매장으로 혼밥·2~4인 식사에 적합함."
54,종종,요리주점,전북특별자치도 전주시 덕진구 덕진동1가 1264-7 1층 종종,덕진구,덕진동1가,전북대·덕진공원권,한식 주점 안주,22000,전북대 체육관·경기장 유료주차,비추천,추천,비추천,가능,데이트와 모임에 이용되는 한식 주점이다. 전용주차보다는 전북대 체육관·경기장 유료주차 이용 후기가 있음.,주차대안|술자리,B,"종종은(는) 전북대·덕진공원권에 있는 요리주점 식당입니다. 대표 메뉴는 한식 주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전북대 체육관·경기장 유료주차입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 데이트와 모임에 이용되는 한식 주점이다. 전용주차보다는 전북대 체육관·경기장 유료주차 이용 후기가 있음."
55,정원 김밥,종합분식,전북특별자치도 전주시 덕진구 금암동 1312-50,덕진구,금암동,전북대·금암동권,김밥,5000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"정원 김밥은(는) 전북대·금암동권에 있는 종합분식 식당입니다. 대표 메뉴는 김밥이고 가격은 3,500~6,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
56,송가네춘천닭갈비,한식,전북특별자치도 전주시 덕진구 덕진동1가 1264-17 송가네춘천닭갈비,덕진구,덕진동1가,전북대·덕진공원권,춘천닭갈비(1인),8000,전북대 인근 유료·공영,비추천,추천,추천,가능,닭갈비와 볶음밥을 먹는 전형적인 모임형 식당으로 가족·단체 이용에 적합하나 가격은 오래된 자료라 재확인 필요.,가족식사,C,"송가네춘천닭갈비은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 춘천닭갈비(1인)이고 가격은 8,000원(2021 확인가). 주차는 전북대 인근 유료·공영입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 닭갈비와 볶음밥을 먹는 전형적인 모임형 식당으로 가족·단체 이용에 적합하나 가격은 오래된 자료라 재확인 필요."
57,계도리,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-185 1층 계도리,덕진구,덕진동1가,전북대·덕진공원권,닭도리탕,36000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"계도리은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 닭도리탕이고 가격은 28,000~45,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
58,7월의밤,이자카야,전북특별자치도 전주시 덕진구 덕진동1가 1264-13 102호,덕진구,덕진동1가,전북대·덕진공원권,대표 이자카야 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"7월의밤은(는) 전북대·덕진공원권에 있는 이자카야 식당입니다. 대표 메뉴는 대표 이자카야 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
59,고수닭갈비 전북대점,닭갈비,전북특별자치도 전주시 덕진구 덕진동1가 1314-179,덕진구,덕진동1가,전북대·덕진공원권,닭갈비,15000,전북대 인근 유료·공영,비추천,추천,추천,가능,오래 운영된 전북대 닭갈비점으로 치즈·면 사리와 함께 먹는 후기가 많다. 모임형 식사에 적합함.,가족식사,C,"고수닭갈비 전북대점은(는) 전북대·덕진공원권에 있는 닭갈비 식당입니다. 대표 메뉴는 닭갈비이고 가격은 13,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전북대 인근 유료·공영입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 오래 운영된 전북대 닭갈비점으로 치즈·면 사리와 함께 먹는 후기가 많다. 모임형 식사에 적합함."
60,카츠호,돈가스,전북특별자치도 전주시 덕진구 금암동 1312-28 1층 104호,덕진구,금암동,전북대·금암동권,돈카츠,14000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"카츠호은(는) 전북대·금암동권에 있는 돈가스 식당입니다. 대표 메뉴는 돈카츠이고 가격은 11,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
61,황제보쌈,"족발,보쌈",전북특별자치도 전주시 덕진구 덕진동1가 1264-10,덕진구,덕진동1가,전북대·덕진공원권,보쌈,39000,인근 공영·유료,비추천,추천,추천,가능,보쌈 전문점으로 2~4인·가족식사에 적합한 업종이며 전북대 상권 주차는 인근 유료·공영 이용이 필요함.,가족식사,C,"황제보쌈은(는) 전북대·덕진공원권에 있는 족발,보쌈 식당입니다. 대표 메뉴는 보쌈이고 가격은 30,000~48,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 인근 공영·유료입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 보쌈 전문점으로 2~4인·가족식사에 적합한 업종이며 전북대 상권 주차는 인근 유료·공영 이용이 필요함."
62,서래갈매기 전북대점,돼지고기구이,전북특별자치도 전주시 덕진구 덕진동1가 1314-180,덕진구,덕진동1가,전북대·덕진공원권,갈매기살,18000,전용 없음·전북대 체육관 유료,비추천,추천,추천,추천,고기구이 모임에 적합하나 전용주차장이 없다는 후기가 반복된다. 전북대 체육관 유료주차 등을 활용.,가족식사|단체모임,B,"서래갈매기 전북대점은(는) 전북대·덕진공원권에 있는 돼지고기구이 식당입니다. 대표 메뉴는 갈매기살이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전용 없음·전북대 체육관 유료입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 고기구이 모임에 적합하나 전용주차장이 없다는 후기가 반복된다. 전북대 체육관 유료주차 등을 활용."
63,해브어굿테이블,한식,전북특별자치도 전주시 덕진구 덕진동1가 1264-11 2층,덕진구,덕진동1가,전북대·덕진공원권,고기전골,14000,전용 없음·골목,비추천,추천,가능,비추천,고기전골이 추천되며 2인 테이블 위주의 작은 매장이라 3인 이상은 대기가 길어질 수 있다.,,B,"해브어굿테이블은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 고기전골이고 가격은 10,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 전용 없음·골목입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 비추천입니다. 고기전골이 추천되며 2인 테이블 위주의 작은 매장이라 3인 이상은 대기가 길어질 수 있다."
64,파쿠야 전주점,이자카야,전북특별자치도 전주시 덕진구 덕진동1가 1265-19 1층 파쿠야,덕진구,덕진동1가,전북대·덕진공원권,대표 이자카야 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"파쿠야 전주점은(는) 전북대·덕진공원권에 있는 이자카야 식당입니다. 대표 메뉴는 대표 이자카야 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
65,연다라순대,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 707-13,덕진구,금암동,전북대·금암동권,순대국밥,9000,없음,추천,추천,가능,제한적,순대국밥 중심으로 혼밥과 간단한 식사에 적합하다. 주차·단체 좌석은 재확인 필요.,혼밥,B,"연다라순대은(는) 전북대·금암동권에 있는 순대,순댓국 식당입니다. 대표 메뉴는 순대국밥이고 가격은 9,000원. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 순대국밥 중심으로 혼밥과 간단한 식사에 적합하다. 주차·단체 좌석은 재확인 필요."
66,멘야케이 금암본점,일본식라면,전북특별자치도 전주시 덕진구 금암동 757-1 멘야케이,덕진구,금암동,전북대·금암동권,신케이라멘,11000,전용 없음·주변 노상,추천,추천,제한적,비추천,바 좌석 중심 라멘집으로 혼밥에 적합하며 대기 후기가 있다. 전용주차장은 없어 주변 주차를 찾아야 함.,혼밥,A,"멘야케이 금암본점은(는) 전북대·금암동권에 있는 일본식라면 식당입니다. 대표 메뉴는 신케이라멘이고 가격은 약 11,000원. 주차는 전용 없음·주변 노상입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 비추천입니다. 바 좌석 중심 라멘집으로 혼밥에 적합하며 대기 후기가 있다. 전용주차장은 없어 주변 주차를 찾아야 함."
67,정다운집,한식,전북특별자치도 전주시 덕진구 금암동 756-10 1층 정다운집,덕진구,금암동,전북대·금암동권,불고기백반,7000,전용 없음·골목/공영,추천,추천,가능,제한적,불고기백반 단일형 식사로 가성비가 좋고 혼밥·점심에 적합하다. 전용주차장은 없다는 후기가 있음.,혼밥,B,"정다운집은(는) 전북대·금암동권에 있는 한식 식당입니다. 대표 메뉴는 불고기백반이고 가격은 7,000원. 주차는 전용 없음·골목/공영입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 불고기백반 단일형 식사로 가성비가 좋고 혼밥·점심에 적합하다. 전용주차장은 없다는 후기가 있음."
68,백운면,국수,전북특별자치도 전주시 덕진구 금암동 757-9,덕진구,금암동,전북대·금암동권,냉밀면,9000,주변 주차 가능 후기,추천,추천,가능,제한적,냉밀면과 수제돈가스가 언급되는 면요리점으로 혼밥·가족 소규모 식사에 적합함.,혼밥|주차대안,C,"백운면은(는) 전북대·금암동권에 있는 국수 식당입니다. 대표 메뉴는 냉밀면이고 가격은 7,000~11,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 주변 주차 가능 후기입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 냉밀면과 수제돈가스가 언급되는 면요리점으로 혼밥·가족 소규모 식사에 적합함."
69,진상이네집,포장마차,전북특별자치도 전주시 덕진구 진북동 772-27,덕진구,진북동,진북동권,한돈 목살 한판,30000,매장 앞 전용주차,비추천,추천,추천,가능,계절 안주와 목살 한판을 파는 포장마차형 식당으로 매장 앞 주차 후기가 있다. 가격은 과거 자료임.,가족식사|주차대안|술자리,C,"진상이네집은(는) 진북동권에 있는 포장마차 식당입니다. 대표 메뉴는 한돈 목살 한판이고 가격은 30,000원(2023 확인가). 주차는 매장 앞 전용주차입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 계절 안주와 목살 한판을 파는 포장마차형 식당으로 매장 앞 주차 후기가 있다. 가격은 과거 자료임."
70,꽃님이네,한식,전북특별자치도 전주시 덕진구 금암동 706-8 1층 꽃님이네,덕진구,금암동,전북대·금암동권,대표 한식 메뉴,12000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"꽃님이네은(는) 전북대·금암동권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 메뉴이고 가격은 9,000~16,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
71,금암동부대찌개 본점,"찌개,전골",전북특별자치도 전주시 덕진구 금암동 755-1,덕진구,금암동,전북대·금암동권,부대찌개,14000,인근 공영·골목,가능,추천,추천,가능,반찬과 계란말이·전 리필 후기가 있는 부대찌개 전문점으로 가족·소규모 모임에 적합함.,가족식사,C,"금암동부대찌개 본점은(는) 전북대·금암동권에 있는 찌개,전골 식당입니다. 대표 메뉴는 부대찌개이고 가격은 10,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 인근 공영·골목입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 반찬과 계란말이·전 리필 후기가 있는 부대찌개 전문점으로 가족·소규모 모임에 적합함."
72,남도주유소,"전통,민속주점",전북특별자치도 전주시 덕진구 금암동 761-8,덕진구,금암동,전북대·금암동권,전통주 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"남도주유소은(는) 전북대·금암동권에 있는 전통,민속주점 식당입니다. 대표 메뉴는 전통주 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
73,금암동태마을,한식,전북특별자치도 전주시 덕진구 금암동 761-2 1층 동태마을,덕진구,금암동,전북대·금암동권,동태탕,14000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"금암동태마을은(는) 전북대·금암동권에 있는 한식 식당입니다. 대표 메뉴는 동태탕이고 가격은 10,000~17,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
74,금암면옥 본점,"칼국수,만두",전북특별자치도 전주시 덕진구 금암동 471-10,덕진구,금암동,전북대·금암동권,칼국수,9000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"금암면옥 본점은(는) 전북대·금암동권에 있는 칼국수,만두 식당입니다. 대표 메뉴는 칼국수이고 가격은 7,000~11,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
75,새움,요리주점,전북특별자치도 전주시 덕진구 금암동 720-36 1층,덕진구,금암동,전북대·금암동권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"새움은(는) 전북대·금암동권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
